artist,genres,genre
Devendra Banhart,"Folk, indie rock, psychedelic folk",Folk
Tribalistas,"Pop, MPB, Bossa Nova",MPB
Tete Montoliu,"Jazz, Latin, Bebop",Jazz
Tempo Rei,"MPB, Samba, Bossa Nova",Brazilian Music
Pete Krebs & The Kung Pao Chi,"Folk, Americana, Alternative Country",Indie Rock
Bebe,"Pop, Rock, Latin",Pop
Manu Chao,"Ska, Reggae, World Music",World Music
Som Ibérico,"Latin, Flamenco, Jazz",Flamenco
Various Artists,"Pop, Rock, Hip Hop",Compilation
Tania Maria,"Jazz, Latin, Funk",Jazz
Ana Moura,"Fado, World, Folk",Fado
Geraldo Azevedo,"MPB, Forró, Bossa Nova",Folk
Djavan,"Jazz, MPB, Bossa Nova",Latin
Quatro Ventos,"Latin, folk, world",Folk
Luisa Sobral,"Pop, Folk, Jazz",Folk
Deolinda,"Folk, Fado, World music",Folk
Demonios Da Garoa,"Samba, Pagode, Bossa Nova",Samba
Astrud Gilberto,"bossa nova, jazz, samba",bossa nova
Sophie Milman,"Jazz, Bossa Nova, Pop",Jazz
Moraes Moreira,"Samba, MPB, Tropicália",Bossa Nova
Caetano Veloso,"MPB, Tropicalia, Bossa Nova",Bossa Nova
Vanessa Da Mata,"MPB, Samba, Bossa Nova",Pop
Raphael Rabello,"Brazilian music, choro, MPB",Samba
Paulo Moura,"Samba, Choro, Jazz",Jazz
Maria Bethânia,"MPB, Samba, Bossa Nova",MPB
Tom Zé,"Experimental, Tropicalia, MPB",Experimental
Graveola,"Indie Rock, MPB, Samba",MPB
Zé Maurício Machline,"Indie Rock, Alternative, Folk",Indie Folk
Chico Buarque,"MPB, Samba, Bossa Nova",Bossa Nova
Eva Fernández,"Pop, R&B, Soul",Pop
Paulinho Da Viola,"Samba, Bossa Nova, MPB",Samba
Novos Baianos,"MPB, Tropicália, Samba",Brazilian rock
"Elomar, Geraldo Azevedo, Vital Farias, Xangai","Folk, MPB, Sertanejo",Folk
Bagunço,"pop, reggae, funk",Electronic
Fabrizio De André,"Folk, Rock, Chanson",Folk
Moyseis Marques,"Samba, Bossa Nova, MPB",Samba
Sérgio Mendes,"Latin, bossa nova, jazz",Bossa Nova
Os Tincoãs,"Samba, MPB, Afro-Brazilian",Samba
Zezé Motta,"MPB, samba, bossa nova",Samba
Vinícius de Moraes,"Bossa Nova, Samba, MPB",Bossa Nova
Mayra Andrade,"World, Afrobeat, Jazz",World Music
Barbatuques,"World, vocal, percussion",World Music
Homem ao Mar,"Indie Rock, Alternative Rock, Dream Pop",Indie folk
A Banda Mais Bonita da Cidade,"Indie Rock, MPB, Folk",Indie folk
Adoniran Barbosa,"Samba, MPB, Samba-Canção",Samba
Dona Ivone Lara,"Samba, MPB, Bossa Nova",Samba
David Bowie,"Rock, Glam Rock, Art Rock",Rock
Batida,"Afrobeat, Kuduro, House",Electronic
Perotá Chingó,"Folk, Indie, World",Folk
Great Lake Swimmers,"Folk, Indie, Alternative",Folk
Carlos Madrid,"Pop, Rock, Latin",Latin
Brad Mehldau,"Jazz, Classical, Pop",Jazz
Craig James Fox,"Rock, Folk, Country",Country
Mulatu Astatke,"Ethio-jazz, world music, funk",Jazz
Asaf Avidan,"Folk, rock, alternative",Indie folk
The Handsome Family,"Alt-country, Americana, Indie folk",Folk
Jamie N Commons,"Blues, Rock, Folk",Folk
Au Revoir Simone,"Indie Pop, Dream Pop, Synthpop",Indie pop
Fink,"Folk, blues, electronic",Folk
Nouvelle Vague,"Indie, bossa nova, new wave",Bossa Nova
Hindi Zahra,"World, Jazz, Folk",World music
Cocoon,"Indie folk, dream pop, acoustic",Folk
Isbells,"Indie folk, indie pop, alternative folk",Indie folk
Ben Howard,"Folk, Indie, Rock",Folk
Luthea Salom,"Folk, Indie, Pop",Folk
College & Electric Youth,"Synthwave, dream pop, electronic",Synthwave
Desire,"Synthpop, Italo Disco, New Wave",Synthpop
Carlitos Vieira Dias,"Afrobeat, Semba, Kizomba",World Music
Calle 13,"Urban, Latin, Reggaeton",Urban
Nacho Vegas,"Alternative Rock, Indie Pop, Folk",Indie rock
Alpha Blondy,"Reggae, Dancehall, World Music",reggae
Espaldamaceta,"Pop, Reggae, Electronic",Indie pop
The Tallest Man On Earth,"Folk, indie folk, singer-songwriter",Indie Folk
Grupo De Expertos Solynieve,"Indie Rock, Folk, Alternative",Indie Pop
Bob Dylan,"Folk, rock, blues",Folk
Radiohead,"Alternative Rock, Electronic, Experimental",Alternative
Sigur Rós,"Post Rock, Ambient, Experimental",Postrock
Daft Punk,"Electronic, house, dance",Electronic
Sanjosex,"Indie pop, acoustic, singer-songwriter",Indie folk
Nancy Sinatra,"Pop, country, rock",Pop
Vandaveer,"Folk, Indie, Americana",Folk
Radical Face,"Indie folk, indie rock, alternative folk",Indie folk
Sufjan Stevens,"Indie Folk, Baroque Pop, Electronica",Indie folk
Richard Bona,"Jazz, World, Fusion",Jazz
Rodríguez,"Folk, Psychedelic rock, Blues",Folk
Los Planetas,"Indie rock, alternative rock, shoegaze",Indie Rock
The xx,"Indie pop, indie rock, electronic",Indie pop
Mercedes Sosa,"Latin, Folk, World",Folk
Wilco,"Alt-rock, indie rock, Americana",Alternative Rock
Elvis Perkins,"Folk, indie folk, chamber pop",Indie folk
Joan Colomo,"Indie, rock, folk",Indie Folk
Koop,"Electronic, jazz, downtempo",jazz
Lorena Astudillo & Daniel Maza,"Latin, Jazz, World",Latin Folk
Manel,"indie pop, indie rock, folk pop",Indie pop
Jorge Cafrune,"Folk, Tango, Zamba",Folk
Vic Chesnutt,"Folk, indie rock, alternative folk",Indie rock
Pedro Aznar,"Pop, Rock, Jazz",Jazz
Isobel Campbell,"Indie folk, baroque pop, chamber pop",Folk
Hernán Ríos,"Electronic, Techno, Ambient",Electronic
Nico Roig,"Experimental, electronic, indie folk",Indie pop
L.A.,"Indie rock, dream pop, electronic",Hip hop
Bobby Womack,"Soul, R&B, Funk",RB
Moderat,"Electronic, Techno, Experimental",Electronic
Doctor Rockit,"Electronic, ambient, experimental",Electronic
The Be Good Tanyas,"Folk, Americana, Roots",Folk
Albert Pla & Pascal Comelade,"Alternative, Experimental, Avant-Garde",Experimental
The Specials,"Ska, Reggae, Punk",Ska
Refree,"Experimental, folk, electronic",Folk
Charlie Winston,"Folk, rock, indie",Folk
Dapayk & Padberg,"Techno, Minimal, Electronica",Electronic
Lou Doillon,"Folk, Indie, Pop",Folk
Saule,"Pop, Electronic, Indie",Folk
James Blake,"Electronic, Alternative R&B, Experimental",Electronic
Real Estate,"Indie Rock, Dream Pop, Shoegaze",Indie Rock
Teenage Fanclub,"Alternative Rock, Power Pop, Indie Rock",Indie Rock
The Pains Of Being Pure At Heart,"Indie rock, shoegaze, dream pop",Indie pop
The Mountain Goats,"Indie Rock, Folk, Alternative folk",Indie folk
Caribou,"Electronic, indie, psychedelic",Electronic
The Doors,"Rock, Psychedelic Rock, Blues",Psychedelic rock
The Magnetic Fields,"Indie Pop, Indie Rock, Baroque Pop",Indie pop
Guided By Voices,"Indie Rock, Lo-Fi, Alternative Rock",Indie Rock
Modern English,"New wave, post-punk, alternative rock",New Wave
DB Boulevard,"House, Dance, Electronic",House
The Cure,"Post-punk, new wave, alternative rock",Gothic Rock
Lambchop,"Alternative, indie rock, Americana",AltCountry
Clem Snide,"Indie Rock, Folk Rock, Alternative Country",Indie folk
City and Colour,"Folk, indie rock, alternative folk",Folk
Wavves,"Indie rock, surf rock, punk rock",Indie rock
The Drums,"Indie rock, post-punk revival, surf rock.",Indie pop
Vàlius,"Pop, R&B, Soul",Electronic
Isaac Ulam,"Pop, R&B, Soul",Hiphop
Beach Beach,"Indie Rock, Garage Rock, Surf Rock",Indie rock
WHY?,"Indie rock, alternative hip hop, experimental hip hop",Indie Rock
Blondie,"New Wave, Punk Rock, Pop",New Wave
Scott Walker,"Baroque Pop, Experimental Rock, Avant-garde",Experimental
The Pastels,"Indie pop, noise pop, twee pop",Indie pop
Woods,"Indie folk, psychedelic rock, lo-fi folk",Indie Folk
The Libertines,"Indie Rock, Garage Rock, Post-punk",Indie Rock
Violent Femmes,"Alternative Rock, Punk Rock, Folk Punk",Alternative
Hefner,"Indie rock, lo-fi, pop",Indie pop
The Kinks,"Rock, pop, British Invasion",Rock
Foxygen,"Psychedelic rock, indie rock, baroque pop",Indie rock
The Jesus and Mary Chain,"Noise Rock, Post-Punk, Shoegaze",Alternative rock
The Smiths,"Indie Rock, Post-Punk, Alternative Rock",Indie Rock
Lulu And The Luvvers,"Pop, soul, R&B",Pop
John Wizards,"Electronic, Afro-pop, Psychedelic",Electronic
Mac DeMarco,"Indie rock, psychedelic rock, jangle pop",Indie Rock
The War On Drugs,"Indie Rock, Heartland Rock, Shoegaze",Indie rock
Boomgates,"Indie rock, post-punk, alternative pop",Indie Rock
Les Savy Fav,"Indie rock, post-punk, noise rock",Indie rock
Warm Soda,"Garage rock, power pop, indie rock",Garage rock
Cool Ghouls,"Garage Rock, Indie Rock, Psychedelic Rock",Garage rock
Pure Bliss,"Pop, electronic, dance",Electronic
Desmond Dekker,"Reggae, Ska, Rocksteady",Reggae
Teenage Filmstars,"Indie rock, post-punk, new wave",Indie pop
Sonny & The Sunsets,"Indie Rock, Garage Rock, Psychedelic Pop",Indie Rock
Chucho,"Jazz, Latin Jazz, Fusion",Latin jazz
Big Star,"Rock, power pop, alternative rock",Rock
Courtney Barnett,"Indie rock, alternative rock, folk rock",Indie rock
Juan Wauters,"Indie, Folk, Pop",Indie folk
English Singles,"Pop, indie, rock",Indie pop
Angel Olsen,"Indie rock, folk rock, alternative country",Indie folk
The Cleaners From Venus,"Indie pop, lo-fi, new wave",indie pop
Ben Lee,"Pop, indie rock, folk",Indie pop
Les Sueques,"Rock, punk, garage",Indie rock
Girls,"Indie Pop, Indie Rock, Dream Pop",Indie pop
Me and the Bees,"Indie Rock, Dream Pop, Shoegaze",Indie pop
Renaldo & Clara,"Folk, rock, country",Folk
The Breeders,"Indie rock, alternative rock, punk rock",Alternative Rock
Kim,"Pop, R&B, Soul",Kpop
Frankie Cosmos,"Indie rock, lo-fi, indie pop",Indie pop
Colleen Green,"Indie rock, punk rock, pop",Indie Rock
The Memories,"Indie Rock, Lo-fi, Garage Rock",Indie Rock
Cousins,"Indie rock, garage rock, punk",Indie rock
The Honeys,"Pop, rock, surf pop",Pop
Alba Lua,"Indie Pop, Dream Pop, Electronic",Indie pop
Da Souza,"Indie rock, bedroom pop, post-punk",Indie Pop
Titus Andronicus,"Indie Rock, Punk Rock, Folk Punk",Punk
The Fresh & Onlys,"Indie rock, garage rock, psychedelic rock",Indierock
Bleached,"Rock, punk, pop",Indie Rock
The Elwins,"Indie Pop, Alternative Rock, Indie Rock",Indie pop
The 6ths,"Indie Pop, Baroque Pop, Indie Rock",Indie pop
Thao & The Get Down Stay Down,"Indie rock, folk rock, alternative folk",Indie folk
Elvis Presley,"Rock and Roll, Pop, Gospel",RocknRoll
Charades,"Pop, R&B, Indie",Pop
The Wave Pictures,"Indie, folk, rock",Indie Rock
The Lovin' Spoonful,"Folk, rock, pop",FolkRock
Love Inks,"Indie Pop, Dream Pop, Electronic",Indie pop
Sharon Van Etten,"Indie Rock, Folk, Alternative Folk",Indie rock
The Go-Betweens,"Indie rock, jangle pop, alternative rock",Indie pop
Jamie xx,"Electronic, Ambient, House",Electronic
Foals,"Indie Rock, Alternative Rock, Electronic",Indie rock
Mujeres,"Garage rock, punk rock, indie pop.",Indie rock
FIDLAR,"Garage Rock, Punk Rock, Surf Rock",Punk
The Jackson 5,"R&B, Pop, Soul",RB
Baxter Dury,"Indie Rock, Alternative Rock, Post-Punk",Alternative
The Budos Band,"Funk, Afrobeat, Soul",Funk
Hospitality,"Indie Pop, Indie Rock, Dream Pop",Indie pop
Leonard Cohen,"Folk, Rock, Pop",Folk
The Poets Of Rhythm,"Funk, Soul, Afrobeat",Funk
Smith Westerns,"Indie rock, garage rock, psychedelic rock",Indie Rock
Alvvays,"Indie pop, dream pop, indie rock",Indie pop
Camera Obscura,"Indie Pop, Indie Rock, Twee Pop",Indie Pop
PUPUT,"Indie rock, punk rock, alternative folk",Pop
The La's,"Indie Rock, Alternative Rock, Jangle Pop",Indie Rock
Big Surr,"Indie rock, alternative rock, dream pop",Indie pop
M.I.A.,"Electronic, Hip hop, World",Electronic
The Killers,"Indie Rock, Alternative Rock, New Wave",Rock
The Bobby Fuller Four,"Rock, surf rock, garage rock",Rockabilly
Marvin Gaye,"Soul, R&B, Funk",Soul
Joy Division,"Post-Punk, New Wave, Alternative Rock",Postpunk
Deerhunter,"Indie rock, dream pop, noise rock",Indie rock
Twerps,"Indie Pop, Alternative Rock, Jangle Pop",Indie pop
The Shins,"Indie Rock, Alternative Rock, Folk Rock",Indie rock
Duncan Dhu,"Pop, Rock, Indie",Pop
Todd Terje,"Disco, electronic, house",Disco
Loretta Lynn,"Country, country pop, honky tonk",Country
Leslie Gore,"Pop, Rock, R&B",Pop
El Guincho,"Indie, Electronic, Tropical",Indie pop
Antonio Machín,"Bolero, Son Cubano, Mambo",Bolero
The Beach Boys,"Pop, rock, surf pop",Pop
The Marcels,"Doo-wop, rock and roll, R&B",Doowop
La iaia,"Indie rock, folk, pop",Indie pop
BRONCHO,"Indie Rock, Garage Rock, Alternative Rock",Indie Rock
Johnny Nash,"Reggae, Pop, Soul",Reggae
Loudon Wainwright III,"Folk, Singer-songwriter, Americana",Folk
The Shivas,"Garage rock, psychedelic rock, surf rock",Garage Rock
The Isley Brothers,"R&B, soul, funk",RB
The Rolling Stones,"Rock, Blues, R&B",Rock
Súper Gegant,"Indie Rock, Dream Pop, Synthpop",Indie pop
Goodnight Radio,"Pop, Indie, Alternative",Indie pop
Belle & Sebastian,"Indie pop, indie rock, twee pop",Indie pop
Senior i el cor brutal,"Indie rock, alternative rock, psychedelic rock",Indie Rock
Bob Marley & The Wailers,"Reggae, Ska, Rock",Reggae
Holly Miranda,"Indie pop, folk, alternative rock",Indie pop
Wolf Alice,"Alternative Rock, Indie Rock, Dream Pop",Alternative
White Reaper,"Garage Rock, Punk Rock, Power Pop",Rock
The King Khan & BBQ Show,"Garage rock, punk rock, psychedelic rock",Garage rock
Ryan Paris,"Italo disco, synth-pop, dance",Disco
Crystal Fighters,"Indie, Folk, Dance",Indie pop
Ritchie Valens,"Rock and Roll, Chicano Rock, Latin Rock",Rockabilly
The Coasters,"R&B, rock and roll, doo-wop",RB
Franco Battiato,"Pop, Rock, Electronic",Progressive rock
Dignan Porch,"Indie rock, lo-fi, psychedelic pop",Indie Rock
JAY-Z,"Hip hop, rap, R&B",Hiphop
Orchestral Manoeuvres In The Dark,"New Wave, Synthpop, Electronica",Electronic
Sr. Chinarro,"Indie Rock, Alternative Rock, Pop",Indie pop
The Crystals,"Pop, R&B, Girl Group",Girl group
Happyness,"Indie rock, alternative rock, lo-fi",Indie Rock
Chris Montez,"Pop, Rock, Latin",Pop
The Chordettes,"Pop, doo-wop, vocal harmonies",Pop
Trío Page Cavanaugh,"Jazz, swing, traditional pop",Jazz
Earl Grant,"Jazz, pop, easy listening",Jazz
Pixies,"Alternative Rock, Indie Rock, Post-Punk",Alternative
Tame Impala,"Psychedelic Rock, Indie Rock, Synthpop",Psychedelic rock
The Beatles,"Rock, Pop, Psychedelic",Rock
Juniore,"Indie rock, ye-ye, psychedelic pop",Indie pop
The Chills,"Indie pop, jangle pop, alternative rock",Indie Rock
Marie et les garçons,"Punk, New Wave, Post-Punk",Punk
Javiera Mena,"Pop, electro-pop, synth-pop",Electropop
Núria Graham,"Indie, folk, pop",Indie folk
Os Mutantes,"Psychedelic rock, Tropicália, Experimental",Psychedelic rock
Galaxie 500,"indie rock, dream pop, shoegaze",Dream Pop
Robert Forster,"Indie rock, jangle pop, alternative rock",Indie Rock
Parquet Courts,"Rock, Punk, Indie",Indie Rock
Car Seat Headrest,"Indie rock, lo-fi, alternative rock",Indie Rock
Nusrat Fateh Ali Khan,"Qawwali, Sufi, Fusion",Qawwali
Joana Pons amb ses guitarres,"Pop, Flamenco, Rumba",Folk
Shaggy,"reggae, dancehall, pop",Reggae
Big Thief,"Indie rock, folk rock, alternative folk",Indie rock
Maurice Williams & The Zodiacs,"Doo-Wop, R&B, Soul",RB
Maggie Rogers,"Pop, folk, electronic",Pop
Rino Gaetano,"Pop, Rock, Folk",Rock
Baccara,"disco, pop, euro disco",Disco
Palehound,"Indie rock, alternative rock, lo-fi",Indie rock
FEMME,"Pop, Alternative, Electronic",Pop
Michael Kiwanuka,"Soul, Folk, R&B",Soul
Germà Aire,"Rock, Pop, Indie",Classical
Germán Carrascosa y la Alegría del Barrio,"Latin, World, Folk",Flamenco
Franz Ferdinand,"Indie rock, post-punk revival, dance-punk",Indie Rock
Slumber Party,"Dream Pop, Indie Rock, Shoegaze",Indie pop
B Fachada,"Folk, Indie, Alternative",Folk
Blood Orange,"Indie R&B, Synthpop, Alternative R&B",RB
The Zephyr Bones,"Indie Rock, Dream Pop, Shoegaze",Indie Pop
Hamilton Leithauser + Rostam,"Indie Rock, Folk Rock, Baroque Pop",Indie folk
Kim Carnes,"Pop, rock, country",Pop
Sia,"Pop, electropop, indie pop",Pop
Espanto,"Pop, Ballad, OPM",Pop
Rufus,"Soul, funk, R&B",Soul
Univers,"Electronic, Pop, R&B",Electronic
Aias,"Indie pop, dream pop, lo-fi",Indie pop
De Frank Professionals,"Afrobeat, Highlife, Afrofunk",Afrobeat
Ebo Taylor,"Afrobeat, Highlife, Afrofunk",Afrobeat
Corona,"Pop, dance, Eurodance",Dance
Built To Spill,"Indie rock, alternative rock, lo-fi",Indie rock
Leroy Smart,"Reggae, Dub, Dancehall",Reggae
Onra,"Hip-hop, electronic, instrumental",Electronic
Maria Arnal i Marcel Bagés,"Folk, Indie, Experimental",Folk
Iseo & Dodosound,"Reggae, Dub, Electronic",Reggae
Academia da Berlinda,"Samba, Frevo, Maracatu",Latin music
Kou Keri Kou,"Indie pop, electronic, experimental",Jazz
Gloria Ann Taylor,"Soul, Funk, Disco",Soul
The Vaccines,"Indie rock, garage rock, post-punk",Indie Rock
Amanaz,"Psychedelic rock, Afro-rock, Zamrock",Rock
Mariah,"Pop, R&B, Soul",Pop
Roy of the Ravers,"acid, techno, house",Electronic
Bomba Estéreo,"Electro, Cumbia, Tropical",Electropop
-M-,"Pop, Rock, Alternative",Pop
Sophia George,"Reggae, Dancehall, Dub",Reggae
Phyllis Dillon,"Reggae, Ska, Rocksteady",Reggae
Joan Manuel Serrat,"Pop, Latin, Folk",Folk
Wayne Shorter,"Jazz, post-bop, fusion",Jazz
Julia Michaels,"Pop, R&B, Alternative",Pop
Ariel Pink,"Psychedelic rock, lo-fi, indie pop",Indie pop
Arnie Love & The Lovelettes,"Funk, Soul, R&B",Soul
Star Slinger,"Electronic, Hip-hop, Experimental",Electronic
Drake,"Hip hop, R&B, pop",Hip hop
Sisa,"Pop, R&B, Soul",Pop
David Kilgour,"Indie rock, jangle pop, alternative rock",Indie Rock
Kid Francescoli,"Indie Pop, Electronic, French Pop",Electronic
Maya,"R&B, pop, neo-soul",Pop
Saintseneca,"Indie folk, alternative rock, indie pop",Indie folk
Kirsten & Marie,"Indie Pop, Folk, Dream Pop",Indie Pop
Wealstarcks,"pop, indie, electronic",EDM
Bruno Lauzi,"Pop, Jazz, World",Jazz
Sampa the Great,"Hip-hop, R&B, Neo-soul",Hiphop
Umpah Pah,"Pop, R&B, Hip-hop",Jazz
Kiwi jr.,"Indie rock, post-punk, alternative rock",Indie Rock
Duckwrth,"Hip-hop, R&B, Funk",Hiphop
Evripidis and His Tragedies,"Indie pop, folk, baroque pop",Indie Pop
Camel Power Club,"Electronic, Chillout, Downtempo",Electronic
Immaculate Fools,"Alternative Rock, Indie Rock, Post-Punk",Pop
Spandau Ballet,"New Wave, Pop, Synthpop",New Wave
Chuck Wood,"Soul, R&B, Funk",Soul
Maxi Priest,"Reggae, R&B, Dancehall",Reggae
Lizzy Mercier Descloux,"Post-punk, new wave, world music",Postpunk
Planet 1999,"Synth-pop, dream pop, shoegaze",Indie Pop
Tomeu Penya,"Folk, World Music, Pop",Mallorcan Folk
Giraffage,"Electronic, Future bass, Chillwave",Electronic
Bodysync,"Electronic, Dance, Ambient",Electronic
Carlos Berlanga,"Pop, New Wave, Synthpop",Pop
Renato Zero,"Pop, Rock, Italian Pop",Pop
Danny L Harle,"Electronic, pop, dance",Electronic
SAINt JHN,"Hip hop, R&B, Trap",Hiphop
Tiësto,"Electro House, Progressive House, Trance",Electronic
Justin Bieber,"Pop, R&B, Dance",Pop
Kesha,"Pop, dance-pop, electropop",Pop
Macklemore & Ryan Lewis,"Hip hop, pop, rap",Hip hop
Riton,"House, techno, electronic",House
Luis Fonsi,"Latin Pop, Reggaeton, Ballad",Pop
Sam Feldt,"Deep House, Tropical House, Future House",House
Katy Perry,"Pop, dance-pop, electropop",Pop
Shawn Mendes,"Pop, pop rock, acoustic",Pop
Tones And I,"Pop, indie pop, alternative pop",Pop
Jennifer Lopez,"Pop, R&B, Dance",Pop
Nicki Minaj,"Hip hop, pop, rap",Hiphop
Miley Cyrus,"Pop, Pop Rock, Country",Pop
The Weeknd,"R&B, pop, alternative R&B",RB
Sam Smith,"Pop, R&B, Soul",Pop
Rihanna,"Pop, R&B, Dancehall",Pop
Liam Payne,"Pop, R&B, Dance",Pop
Nelly Furtado,"Pop, R&B, Alternative",Pop
Meghan Trainor,"Pop, R&B, Soul",Pop
Vanessa Carlton,"Pop, rock, indie",Pop
Astrid S,"Pop, Synth-pop, Electropop",Pop
Jonas Brothers,"Pop, rock, pop rock",Pop
Lady Gaga,"Pop, dance-pop, electropop",Pop
Gryffin,"Pop, dance, electronic",Electronic
J Balvin,"Reggaeton, Latin Trap, Reggae",Reggaeton
R3HAB,"Electronic, dance, pop",Electronic
ILLENIUM,"EDM, future bass, melodic dubstep",EDM
Taio Cruz,"Pop, R&B, Dance",Pop
Jessie J,"Pop, R&B, Soul",Pop
Niall Horan,"pop, folk, rock",Pop
Mabel,"Pop, R&B, Dance",Pop
Avicii,"Progressive House, Electronic, Dance",Electronic
Marshmello,"Electronic, dance, pop",EDM
Ariana Grande,"Pop, R&B, Dance",Pop
Zedd,"Electronic, dance, pop",Electronic
Daddy Yankee,"Reggaeton, Latin pop, Dancehall",Reggaeton
Alan Walker,"Electro House, Progressive House, EDM",Electronic
5 Seconds of Summer,"pop, pop punk, rock",Pop
Nevada,"Pop, dance, electronic",Electronic
MEDUZA,"House, Deep House, Tech House",House
Lizzo,"Pop, R&B, Hip hop",Pop
Beyoncé,"R&B, Pop, Hip Hop",Pop
Taylor Swift,"Pop, country, folk",Country
Panic! At The Disco,"Pop, rock, punk",Pop
RAYE,"Pop, R&B, Dance",Pop
benny blanco,"pop, electronic, hip hop",Pop
Jax Jones,"Dance, house, electronic",Dance
Starley,"Pop, dance, electronic",Pop
Daya,"Pop, electronic, dance",Pop
Clean Bandit,"Pop, electronic, dance",Electronic
BEAUZ,"Electronic, dance, pop",Electronic
Jonas Blue,"Pop, dance, electronic",Dance
Alok,"Electro House, Brazilian Bass, Deep House",Electronic
Sean Paul,"Dancehall, reggae, hip hop",Dancehall
Dua Lipa,"Pop, dance-pop, electropop",Pop
Celeste,"R&B, soul, jazz",RB
Ellie Goulding,"Pop, electropop, synth-pop",Pop
Jason Derulo,"Pop, R&B, Dance",Pop
The Chainsmokers,"Pop, electronic, dance",Electronic
Martin Garrix,"Progressive House, Big Room, Electro House",Electronic
Sheppard,"Pop, rock, indie",Pop
Netsky,"Drum and bass, electronic, dance",Drum and Bass
Usher,"Pop, R&B, Hip hop",RB
Jon Lemmon,"Pop, Electronic, R&B",Pop
Sabrina Carpenter,"Pop, R&B, Dance",Pop
Loud Luxury,"Pop, deep house, dance",Dance
blackbear,"R&B, hip hop, pop",RB
Natasha Bedingfield,"Pop, R&B, Adult Contemporary",Pop
Shakira,"Pop, Latin, Rock",Pop
Ava Max,"Pop, dance-pop, electropop",Pop
Natalie La Rose,"Pop, R&B, Dance",Pop
FÄIS,"R&B, Pop, Electronic",Pop
Selena Gomez,"Pop, dance-pop, electropop",Pop
Nicky Jam,"Reggaeton, Latin Pop, Hip Hop",Reggaeton
Post Malone,"Hip-hop, pop, R&B",Hiphop
Stormzy,"Grime, UK rap, Hip hop",Grime
Flo Rida,"Hip hop, pop, dance",Hiphop
David Guetta,"Electronic, dance, pop",Electronic
Britney Spears,"Pop, dance-pop, electropop",Pop
Pitbull,"pop, hip hop, reggaeton",Pop
Felix Jaehn,"Pop, electronic, dance",Electronic
Dynoro,"Deep House, Tech House, House",Dance
DNCE,"Pop, dance-pop, funk",Pop
FAULHABER,"Electronic, dance, house",House
DJ Snake,"Electronic, dance, trap",Electronic
John Newman,"Pop, soul, dance",Pop
Hailee Steinfeld,"Pop, dance-pop, R&B",Pop
Alesso,"Progressive House, Big Room, Electro House",EDM
DJ Khaled,"Hip hop, rap, contemporary R&B",Hip hop
OMI,"Pop, reggae, dancehall",Pop
Deorro,"Electro house, progressive house, big room house",Electro House
Bastille,"Indie pop, alternative rock, synth-pop",Indie pop
B.o.B,"Hip hop, pop, rap",Hiphop
Mark Ronson,"Pop, dance, funk",Pop
Lost Frequencies,"Deep House, Tropical House, Electronic",Electronic
Years & Years,"Pop, dance, electronica",Pop
Skrillex,"Dubstep, EDM, Electro House",Electronic
Martin Jensen,"Dance, pop, house",Dance
Calvin Harris,"Pop, electronic, dance",Electronic
WALK THE MOON,"Indie Pop, Alternative Rock, Synthpop",Alternative
